"Timestamp","Station","AirTemperatureMax","AirTemperatureMin","RelativeHumidity","Precipitation","WindSpeed2mAvg","WindSpeed2mMax","SoilTemperature5cmMax","SoilTemperature5cmMin","SoilTemperature10cmMax","SoilTemperature10cmMin","SolarRadiation"
1,"Manhattan",34.5,15.3,62.5,0,3.9,13.2,31.2,27.8,31.8,31.3,174.5
2,"Manhattan",39.2,19.7,76.1,0,3.0,11.7,31.6,29.9,31.9,31.6,103.8
3,"Manhattan",39.5,10.7,85.0,0,5.2,34.1,31.7,31.3,32.2,31.9,96.4
4,"Manhattan",17.7,4.9,63.4,0,9.5,34.4,31.7,30.4,32.4,32.2,245.3
5,"Manhattan",27.4,1.5,66.5,0,3.8,18.4,30.8,29.4,32.3,31.9,157.8
6,"Manhattan",26.9,12.2,66.0,0,6.7,24.3,31.1,29.5,31.9,31.7,228.4
7,"Manhattan",19.9,0.8,58.5,0,11.2,32.4,30.5,26.6,31.9,30.9,234.8
8,"Manhattan",35.9,0.3,62.1,0,11.2,30.3,30.3,26.1,31.1,30.1,173.7
9,"Manhattan",25.2,9.7,43.6,0,5.2,19.6,30.1,25.2,30.8,29.6,377.8
10,"Manhattan",42.3,5.0,43.1,0,8.5,28.2,31.0,24.6,31.0,28.9,250.6
11,"Manhattan",38.5,26.1,68.5,0,5.2,21.8,31.4,28.2,31.2,30.2,105.0
12,"Manhattan",29.1,10.9,61.5,0.01,9.7,23.7,31.4,27.3,31.3,30.4,247.0
13,"Manhattan",25.5,4.3,62.2,0.05,2.5,10.9,30.5,24.3,30.7,28.5,179.0
14,"Manhattan",43.1,20.8,55.6,0,2.9,16.2,31.5,29.2,31.3,30.4,240.8
15,"Manhattan",53.3,20.8,65.5,0,3.7,16.4,31.6,28.4,31.4,30.5,258.0
16,"Manhattan",65.3,23.9,50.8,0,6.1,21.9,31.9,30.5,31.5,31.3,260.9
17,"Manhattan",57.3,36.6,42.5,0,10.0,33.1,34.9,31.7,31.6,31.4,192.4
18,"Manhattan",56.4,27.0,54.6,0,3.2,14.7,34.7,31.7,31.6,31.5,218.9
19,"Manhattan",62.4,24.1,61.2,0,4.1,26.3,36.5,31.7,33.3,31.6,243.4
20,"Manhattan",54.9,27.4,57.8,0,4.1,15.2,39.7,32.5,36.9,33.2,176.6
21,"Manhattan",49.5,25.6,60.7,0,4.9,18.5,37.2,32.5,35.9,33.6,218.4
22,"Manhattan",39.0,19.7,75.7,0,2.0,9.7,36.0,32.6,35.4,33.8,111.9
23,"Manhattan",52.1,14.8,61.8,0,3.7,17.2,33.4,31.9,34.4,33.1,249.6
