"Timestamp","Station","AirTemperatureMax","AirTemperatureMin","RelativeHumidity","Precipitation","WindSpeed2mAvg","WindSpeed2mMax","SoilTemperature5cmMax","SoilTemperature5cmMin","SoilTemperature10cmMax","SoilTemperature10cmMin","SolarRadiation"
1,"Manhattan",15.6,-8.3,57.7,0,3.2,12.5,30.3,26.1,30.6,29.0,221.5
2,"Manhattan",25.3,-3.2,52.4,0,4.9,18.1,30.0,26.0,30.4,28.6,226.7
3,"Manhattan",28.5,8.9,62.6,0,8.2,27.4,30.9,28.0,30.9,29.6,231.7
4,"Manhattan",38.4,5.0,68.6,0,1.8,12.5,31.7,26.9,31.2,29.0,220.8
5,"Manhattan",31.1,10.3,64.8,0,4.7,14.0,31.6,28.0,31.2,29.7,210.0
6,"Manhattan",33.4,9.3,62.0,0,4.0,13.7,31.2,27.7,31.1,29.5,185.2
7,"Manhattan",47.9,33.0,61.6,0,5.0,16.1,33.5,30.1,32.2,30.9,69.0
8,"Manhattan",56.0,24.3,66.9,0,2.7,9.5,36.7,30.0,34.9,31.4,229.6
9,"Manhattan",58.1,31.7,62.4,0,5.7,19.7,37.9,32.1,36.6,32.9,125.3
10,"Manhattan",57.6,38.0,72.1,0,9.4,24.1,40.9,35.5,39.9,35.7,126.7
11,"Manhattan",49.7,10.1,79.0,0.24,14.8,32.2,40.7,30.1,40.0,32.9,181.4
12,"Manhattan",15.2,4.4,63.8,0,8.8,19.1,30.2,28.1,33.0,30.9,187.4
13,"Manhattan",21.5,12.2,62.0,0,4.8,16.6,30.7,28.3,31.3,30.4,129.6
14,"Manhattan",37.4,18.2,79.0,0.19,5.5,20.7,31.5,29.2,31.6,30.7,204.8
15,"Manhattan",35.6,1.9,71.6,0.01,13.8,26.1,31.6,26.6,31.8,29.9,195.2
16,"Manhattan",12.8,-2.2,74.3,0,5.3,15.7,28.2,24.8,29.9,27.7,242.7
17,"Manhattan",29.3,1.7,70.0,0,5.6,16.1,28.3,23.5,29.0,26.5,261.6
18,"Manhattan",45.3,19.8,51.7,0,7.3,18.5,30.7,25.9,30.6,27.7,246.3
19,"Manhattan",54.9,32.4,47.2,0,7.6,20.4,32.6,30.0,31.6,30.6,208.1
20,"Manhattan",55.6,38.8,78.9,0,4.4,17.7,35.3,31.5,32.9,31.5,93.8
21,"Manhattan",60.9,35.7,85.1,0,4.6,19.5,38.7,31.7,36.1,31.8,140.6
22,"Manhattan",39.1,27.0,91.2,0.10,11.9,34.9,35.4,33.3,35.1,33.9,43.2
23,"Manhattan",40.7,25.1,80.4,0.02,5.5,20.2,36.7,32.6,35.6,33.4,236.8
24,"Manhattan",52.8,23.7,64.4,0,4.8,18.9,36.9,31.8,35.8,32.9,275.2
25,"Manhattan",66.3,35.2,31.6,0,10.2,28.7,40.4,33.2,38.7,34.0,280.0
26,"Manhattan",62.2,36.6,46.7,0,13.0,39.2,42.7,38.0,41.1,38.0,196.4
27,"Manhattan",57.3,27.8,55.6,0,4.0,16.0,42.4,35.6,40.8,37.0,288.3
28,"Manhattan",36.8,18.5,76.4,0,5.9,20.2,37.5,33.5,38.4,35.4,133.9
29,"Manhattan",36.5,14.2,68.4,0,4.0,16.4,37.9,32.3,37.0,33.9,268.5
30,"Manhattan",54.6,19.9,42.2,0,9.5,28.1,38.1,32.5,37.4,33.8,234.1
31,"Manhattan",52.5,32.3,54.6,0,5.8,23.1,41.2,35.7,39.7,36.4,190.5
32,"Manhattan",41.9,13.1,48.8,0,10.0,30.4,38.6,33.0,38.9,35.2,255.8
33,"Manhattan",41.3,11.9,47.1,0,5.9,20.3,36.2,31.4,35.9,33.4,296.7
34,"Manhattan",53.7,34.1,40.4,0,8.7,26.0,40.1,33.7,38.8,34.7,279.7
35,"Manhattan",36.9,1.4,74.3,0,11.3,27.4,36.9,31.4,37.6,33.4,186.4
36,"Manhattan",27.4,-0.5,71.5,0.04,7.4,19.9,32.4,30.9,33.4,32.6,154.4
37,"Manhattan",16.6,10.5,75.4,0,6.0,15.3,31.8,30.7,32.7,32.1,98.3
38,"Manhattan",33.9,6.0,73.1,0,2.8,14.1,33.7,29.9,33.2,31.6,311.0
39,"Manhattan",55.2,14.9,54.8,0,4.4,23.4,35.8,30.3,34.7,31.8,278.3
40,"Manhattan",51.0,14.5,69.6,0,12.5,23.0,34.2,30.7,34.2,32.2,120.3
41,"Manhattan",22.0,9.6,69.0,0,10.9,23.7,31.6,29.9,32.2,31.7,189.3
42,"Manhattan",35.8,10.4,67.1,0,4.5,16.0,34.0,29.8,33.3,31.4,338.9
43,"Manhattan",39.0,10.9,58.1,0,4.7,15.1,32.8,29.4,32.4,31.3,302.9
44,"Manhattan",55.8,25.4,56.7,0,6.2,22.5,37.9,31.1,36.1,32.1,329.1
45,"Manhattan",64.0,38.6,66.8,0,5.5,19.6,41.7,33.7,39.4,34.1,246.3
46,"Manhattan",64.7,33.0,57.3,0,8.9,29.8,44.0,39.2,42.2,38.7,153.0
47,"Manhattan",39.5,19.0,47.8,0,8.0,27.9,42.8,35.5,41.0,37.2,336.0
48,"Manhattan",56.4,25.5,44.0,0,5.1,23.0,43.2,35.6,41.3,36.9,364.4
49,"Manhattan",58.4,26.5,55.2,0,13.1,34.1,43.9,36.3,42.3,37.7,283.5
50,"Manhattan",61.7,24.7,85.4,0,9.5,32.9,45.1,38.7,43.7,39.6,69.2
51,"Manhattan",27.0,16.8,83.3,0,10.9,21.8,38.7,34.0,39.6,36.1,185.9
52,"Manhattan",28.2,12.0,71.9,0.11,8.4,16.7,35.8,31.7,36.1,33.8,229.8
53,"Manhattan",32.3,26.0,95.2,0,3.4,11.3,34.7,34.0,35.3,34.8,68.0
54,"Manhattan",36.5,29.7,85.9,0.36,4.1,12.2,37.7,34.7,37.2,35.3,182.1
55,"Manhattan",34.9,30.5,91.9,0.06,5.5,16.9,37.4,35.2,37.3,36.1,69.9
56,"Manhattan",53.1,20.6,59.9,0,3.6,12.5,40.7,33.1,39.0,34.5,347.7
57,"Manhattan",63.4,24.2,50.9,0,4.8,22.4,42.1,33.6,40.2,35.0,403.3
58,"Manhattan",71.7,32.5,63.8,0,9.9,27.8,46.5,36.3,44.2,37.4,381.4
59,"Manhattan",55.4,35.0,89.7,0,7.2,22.5,47.1,43.5,45.6,43.9,104.3
60,"Manhattan",54.1,28.7,50.0,0,7.2,24.5,46.6,39.6,44.8,41.0,422.9
