"Timestamp","Station","AirTemperatureMax","AirTemperatureMin","RelativeHumidity","Precipitation","WindSpeed2mAvg","WindSpeed2mMax","SoilTemperature5cmMax","SoilTemperature5cmMin","SoilTemperature10cmMax","SoilTemperature10cmMin","SolarRadiation"
1,"Manhattan",56.9,26.4,80.6,0,3.1,13.0,33.8,31.9,33.4,32.0,176.1
2,"Manhattan",43.8,37.3,92.3,0.93,4.4,24.3,38.0,32.9,37.3,33.3,27.2
3,"Manhattan",40.9,32.5,85.6,0.01,8.4,25.0,37.9,35.8,37.5,36.5,39.6
4,"Manhattan",44.1,26.7,64.0,0,9.0,21.3,37.6,34.2,37.2,35.3,237.9
5,"Manhattan",43.6,25.2,64.5,0,7.0,23.6,36.5,33.6,36.3,34.8,234.4
6,"Manhattan",49.6,20.5,67.1,0,3.5,15.7,35.4,33.1,35.4,34.2,193.6
7,"Manhattan",36.9,23.4,68.5,0,5.0,15.2,35.5,33.9,35.7,34.9,59.7
8,"Manhattan",49.7,17.9,75.5,0,2.1,12.3,35.9,32.9,35.5,34.0,239.6
9,"Manhattan",53.9,34.9,57.0,0,5.3,13.7,38.6,33.3,37.7,34.3,373.7
10,"Manhattan",57.0,24.8,67.2,0,2.1,9.2,38.7,34.1,38.0,35.1,181.9
11,"Manhattan",46.7,27.1,74.8,0,5.7,26.3,37.9,34.7,37.8,35.7,117.4
12,"Manhattan",32.7,21.3,81.6,0.01,11.9,33.5,37.3,34.2,37.7,35.5,107.4
13,"Manhattan",33.3,20.4,81.3,0,3.3,13.1,36.2,33.4,36.1,34.5,203.3
14,"Manhattan",52.7,20.4,64.0,0,5.6,24.0,36.0,33.0,36.0,34.1,177.3
15,"Manhattan",57.4,37.7,59.7,0,9.0,25.8,40.1,35.1,39.4,35.7,142.0
16,"Manhattan",56.6,33.6,66.9,0,9.3,27.1,43.1,39.4,42.1,39.4,224.3
17,"Manhattan",42.5,25.5,86.7,0,3.3,10.9,39.8,36.8,40.4,38.0,105.0
18,"Manhattan",38.0,32.3,92.6,0.96,5.8,17.6,38.2,37.2,38.9,37.8,24.6
19,"Manhattan",35.1,27.2,83.3,0.02,10.4,25.8,38.3,36.1,38.4,37.3,166.8
20,"Manhattan",46.8,21.9,81.6,0,1.8,7.3,38.7,33.8,37.9,35.2,260.9
21,"Manhattan",32.8,26.9,96.8,0.12,2.0,8.3,35.7,34.4,36.8,35.4,44.2
22,"Manhattan",32.8,20.9,91.7,0.16,4.1,10.5,37.0,34.5,36.8,35.6,189.0
23,"Manhattan",41.2,16.3,83.9,0.01,3.9,14.7,34.5,32.9,35.8,34.0,262.1
24,"Manhattan",36.5,20.9,85.7,0,2.4,9.7,33.2,32.9,34.1,33.8,108.4
25,"Manhattan",33.3,18.8,78.4,0,9.7,28.1,33.4,32.9,34.2,33.8,114.8
26,"Manhattan",33.7,18.3,73.9,0,4.5,11.5,33.0,32.5,34.0,33.4,123.4
27,"Manhattan",47.0,31.6,62.1,0,6.7,22.0,34.1,32.5,34.1,33.4,282.3
28,"Manhattan",46.7,14.6,74.3,0,8.2,25.1,37.9,33.1,36.7,33.9,243.2
29,"Manhattan",16.2,8.4,58.8,0,12.7,24.4,34.2,32.3,35.2,33.3,222.0
30,"Manhattan",18.7,9.9,55.1,0,8.3,18.9,32.3,31.8,33.3,32.7,231.3
31,"Manhattan",27.6,5.7,56.8,0,2.8,12.5,31.9,31.1,32.8,32.4,294.7
32,"Manhattan",40.7,7.3,51.8,0,4.5,14.7,31.7,30.4,32.5,32.2,271.6
33,"Manhattan",43.8,13.3,56.5,0,8.0,27.2,31.7,30.9,32.3,32.1,308.1
34,"Manhattan",42.4,7.5,46.3,0,5.4,19.8,31.7,30.7,32.3,32.1,313.4
35,"Manhattan",54.8,34.6,54.6,0,8.9,24.0,31.8,31.6,32.3,32.2,236.0
36,"Manhattan",60.3,27.0,58.6,0,3.1,14.6,31.9,31.8,32.4,32.3,284.5
37,"Manhattan",65.3,29.7,60.5,0,8.7,27.4,33.8,31.9,33.6,32.4,286.4
38,"Manhattan",51.5,25.8,58.1,0,4.6,16.4,38.3,32.7,36.9,33.3,336.5
39,"Manhattan",46.4,18.4,66.8,0.04,2.3,10.7,35.8,33.0,35.6,33.9,172.8
40,"Manhattan",44.2,28.4,75.4,0.02,10.4,25.7,37.6,34.4,37.0,35.0,202.6
41,"Manhattan",42.4,20.0,47.5,0,6.0,21.6,37.7,33.5,36.9,34.5,352.5
42,"Manhattan",53.1,13.0,45.2,0,3.9,13.3,36.2,32.8,35.7,33.9,352.3
43,"Manhattan",59.4,26.4,44.7,0,5.1,15.4,39.0,33.2,37.9,34.2,291.9
44,"Manhattan",62.7,25.1,52.7,0,5.3,18.9,41.1,34.2,39.6,35.3,357.8
45,"Manhattan",57.3,38.1,74.7,0.42,9.1,36.8,43.5,39.2,42.1,39.0,142.7
46,"Manhattan",41.0,23.7,72.1,0,11.7,27.6,40.5,37.4,40.9,38.5,168.5
