"Timestamp","Station","AirTemperatureMax","AirTemperatureMin","RelativeHumidity","Precipitation","WindSpeed2mAvg","WindSpeed2mMax","SoilTemperature5cmMax","SoilTemperature5cmMin","SoilTemperature10cmMax","SoilTemperature10cmMin","SolarRadiation"
62,"Manhattan",60.1,38.7,60.9,0,8.5,26.3,44.3,39.6,43.4
63,"Manhattan",59.2,32.3,77.9,0.28,11.9,40.8,46.0,41.8,45.0
64,"Manhattan",44.9,27.7,56.8,0.04,14.4,37.5,41.8,38.6,42.9
65,"Manhattan",53.7,22.1,55.3,0,5.4,21.3,41.7,36.9,41.1
66,"Manhattan",49.9,35.5,62.4,0,9.9,29.9,42.3,39.1,41.8
67,"Manhattan",57.2,31.3,48.5,0,3.5,12.3,46.4,39.7,44.3
68,"Manhattan",66.9,30.0,38.5,0,4.0,17.1,46.8,38.4,44.7
69,"Manhattan",81.6,39.1,29.8,0,8.6,26.7,48.4,40.3,46.3
70,"Manhattan",70.5,37.1,42.0,0,5.9,21.6,50.5,43.6,48.2
71,"Manhattan",77.5,35.6,49.2,0,3.2,14.6,51.2,43.2,48.9
72,"Manhattan",79.8,38.1,45.0,0,4.5,19.4,52.2,44.2,49.9
73,"Manhattan",76.9,50.5,30.2,0,12.0,41.3,52.3,48.0,50.4
74,"Manhattan",53.8,33.7,45.9,0,12.5,28.4,48.7,44.8,49.0
75,"Manhattan",58.5,23.0,35.6,0,4.6,15.4,49.1,42.0,47.6
76,"Manhattan",81.5,45.4,25.4,0,8.0,21.3,51.6,43.8,49.4
77,"Manhattan",77.2,59.1,25.2,0,11.1,31.5,52.0,47.4,50.6
78,"Manhattan",70.0,31.6,69.4,0.10,17.2,44.8,51.2,43.2,50.5
79,"Manhattan",55.9,25.5,41.0,0,6.2,19.8,49.0,41.3,47.5
80,"Manhattan",65.9,32.4,33.3,0,10.5,29.7,49.9,44.6,48.5
81,"Manhattan",68.8,27.2,43.8,0,5.2,24.2,49.3,42.3,48.0
82,"Manhattan",63.5,38.2,34.6,0,9.2,30.3,50.5,45.6,49.1
83,"Manhattan",74.5,37.2,40.3,0,5.0,24.1,51.3,44.9,49.7
84,"Manhattan",74.0,41.7,45.0,0,3.2,15.9,54.3,46.0,51.9
85,"Manhattan",72.3,38.4,37.0,0,5.0,17.5,53.4,46.7,51.5
86,"Manhattan",84.9,59.9,46.3,0,13.2,38.5,57.7,49.6,55.1
87,"Manhattan",78.2,59.5,62.2,0,12.8,31.1,59.6,54.1,57.1
88,"Manhattan",78.0,40.5,71.2,0,9.7,26.4,58.2,53.6,56.7
89,"Manhattan",53.5,37.5,64.0,0,11.0,22.5,53.6,50.1,54.6
90,"Manhattan",57.6,35.5,55.8,0,6.0,17.3,55.0,48.3,53.3
91,"Manhattan",67.9,42.8,64.2,0,9.5,31.1,52.5,49.4,52.1
92,"Manhattan",63.1,45.7,68.0,0.71,7.0,23.0,55.6,51.2,54.4
93,"Manhattan",56.4,39.5,66.1,0,4.2,13.4,54.9,49.4,53.6
