"Timestamp","Station","AirTemperatureMax","AirTemperatureMin","RelativeHumidity","Precipitation","WindSpeed2mAvg","WindSpeed2mMax","SoilTemperature5cmMax","SoilTemperature5cmMin","SoilTemperature10cmMax","SoilTemperature10cmMin","SolarRadiation"
1,"Manhattan",43.8,19.9,62.4,0,5.9,21.8,33.7,32.5,34.8,33.7,244.9
2,"Manhattan",47.7,22.4,61.0,0,4.5,14.8,33.0,32.3,34.0,33.6,242.0
3,"Manhattan",41.5,21.1,73.6,0,4.3,13.4,33.0,32.3,34.0,33.6,238.7
4,"Manhattan",26.0,16.5,91.9,0,5.3,16.4,32.9,32.0,33.9,33.3,73.5
5,"Manhattan",44.2,17.4,75.6,0,7.1,20.8,32.1,31.3,33.4,32.8,188.8
6,"Manhattan",38.5,33.1,85.2,0.05,6.7,18.2,33.1,32.0,34.6,33.1,35.6
7,"Manhattan",42.8,36.7,98.6,0.29,2.6,11.7,38.9,33.1,38.8,34.6,31.7
8,"Manhattan",38.4,30.3,91.8,0,9.9,19.4,38.8,35.8,38.8,36.9,52.5
9,"Manhattan",30.5,6.9,77.1,0,14.3,25.7,35.8,32.6,36.9,34.2,133.4
10,"Manhattan",26.6,0.7,68.9,0,7.1,21.0,32.6,29.4,34.2,32.0,249.2
11,"Manhattan",43.3,24.4,71.2,0,6.6,19.6,31.7,29.8,32.2,31.8,168.7
12,"Manhattan",33.0,19.7,66.6,0,4.4,16.1,31.7,31.0,32.3,32.1,252.3
13,"Manhattan",55.0,24.7,60.5,0,6.0,18.6,31.8,30.5,32.3,32.0,252.5
14,"Manhattan",57.2,35.7,55.9,0,6.5,18.9,32.0,31.8,32.8,32.3,259.9
15,"Manhattan",38.0,21.5,76.4,0,8.8,24.7,33.0,31.9,33.8,32.7,153.2
16,"Manhattan",38.7,18.3,66.4,0,4.5,19.2,32.9,31.7,33.8,33.0,231.3
17,"Manhattan",19.8,4.6,64.9,0,8.4,22.7,32.1,27.1,33.2,31.2,183.3
18,"Manhattan",31.9,2.5,61.2,0,4.2,14.7,31.1,25.1,31.6,29.3,231.5
19,"Manhattan",26.6,22.9,70.4,0.01,4.9,13.4,30.3,28.9,31.3,30.6,43.4
20,"Manhattan",31.8,22.7,87.7,0.11,4.1,13.7,31.4,30.0,31.8,31.1,82.8
21,"Manhattan",28.2,18.6,92.5,0.09,7.0,17.6,31.6,31.3,31.9,31.7,125.3
22,"Manhattan",27.7,17.8,86.3,0,6.2,17.8,31.6,31.5,32.0,31.9,81.4
