"Timestamp","Station","AirTemperatureMax","AirTemperatureMin","RelativeHumidity","Precipitation","WindSpeed2mAvg","WindSpeed2mMax","SoilTemperature5cmMax","SoilTemperature5cmMin","SoilTemperature10cmMax","SoilTemperature10cmMin","SolarRadiation"
1,"Manhattan",32.2,8.9,84.8,0,10.9,24.6,32.0,31.8,33.0,32.9,76.1
2,"Manhattan",20.4,0,77.9,0,3.0,10.7,31.8,31.7,32.9,32.7,147.5
3,"Manhattan",43.8,6.1,63.1,0,9.0,27.9,31.8,31.5,32.7,32.5,241.1
4,"Manhattan",39.0,16.1,78.6,0,9.7,28.1,31.8,31.7,32.7,32.6,70.6
5,"Manhattan",16.3,-2.5,61.9,0,14.9,28.6,31.8,30.3,32.7,32.3,198.1
6,"Manhattan",12.5,-8.3,56.0,0,5.8,18.8,30.3,29.0,32.3,31.6,256.6
7,"Manhattan",38.4,-3.1,71.3,0,3.3,17.0,31.3,28.9,31.6,31.3,240.8
8,"Manhattan",28.2,15.3,74.6,0,6.3,15.7,31.4,30.4,31.6,31.5,159.4
9,"Manhattan",33.9,14.9,84.7,0,3.4,16.0,31.5,30.2,31.6,31.5,119.3
10,"Manhattan",37.8,32.4,97.6,0.05,3.5,11.5,31.7,31.5,31.8,31.6,44.4
11,"Manhattan",49.0,28.7,74.5,0,5.3,19.6,31.7,31.7,32.0,31.7,254.9
12,"Manhattan",55.6,37.1,52.2,0,6.2,25.7,31.8,31.7,32.2,31.9,184.0
13,"Manhattan",48.5,35.8,63.4,0,5.4,14.3,31.8,31.7,32.9,32.2,259.4
14,"Manhattan",45.6,28.6,47.0,0,10.9,29.9,35.3,31.8,35.1,32.9,257.3
15,"Manhattan",43.8,18.7,56.1,0,4.7,17.5,35.1,32.6,35.1,33.5,186.9
16,"Manhattan",49.1,25.9,46.6,0,13.9,37.2,37.9,33.8,37.0,35.1,229.4
17,"Manhattan",39.6,19.5,48.7,0,7.2,21.8,33.8,32.5,35.4,33.7,272.6
18,"Manhattan",48.7,27.0,51.3,0,11.3,38.1,36.9,32.7,36.1,33.7,164.7
19,"Manhattan",62.7,26.3,53.4,0,6.3,20.9,40.0,32.9,37.9,34.0,277.3
